,agency_name,agency_status,agency_address,agency_latitude,agency_longitude,latlng,city,GA_state,county,agency_simple
336,Tanner Insurance Agency Inc,OPERATIONAL,"407 North Main Street, Pearson",31.3037238,-82.8514326,"31.3037238,-82.8514326",Pearson,Georgia,Atkinson County,Tanner Insurance Agency Inc
337,Chris Brown - COUNTRY Financial representative,OPERATIONAL,"618 Tebeau Street, Waycross",31.213993199999997,-82.3604673,"31.213993200000008,-82.3604673",Waycross,Georgia,Ware County,Country
338,Wilson Insurance,OPERATIONAL,"601 Mary Street, Waycross",31.210298100000003,-82.36120059999999,"31.210298100000003,-82.36120059999998",Waycross,Georgia,Ware County,Wilson Insurance
339,Direct Auto Insurance of Waycross,OPERATIONAL,"701 Riverside Avenue, Waycross",31.225125899999995,-82.3544301,"31.22512589999999,-82.3544301",Waycross,Georgia,Ware County,Direct Auto Insurance of Waycross
340,Farmers Insurance - Daniel Dowling,OPERATIONAL,"2484 Memorial Drive, Waycross",31.1945849,-82.3218213,"31.1945849,-82.3218213",Waycross,Georgia,Ware County,Farmers Insurance - Daniel Dowling
341,Rainwater Insurance Inc,OPERATIONAL,"517 North Church Street, Homerville",31.0435386,-82.75088559999999,"31.0435386,-82.75088559999998",Homerville,Georgia,Clinch County,Rainwater Insurance Inc
342,Globe Life Liberty National Division - The Cannington Agency,OPERATIONAL,"2494 Memorial Drive, Waycross",31.1942114,-82.32138909999999,"31.19421139999999,-82.32138909999998",Waycross,Georgia,Ware County,Globe Life Liberty National Division - The Cannington Agency
343,Agri Insurance Services,OPERATIONAL,"22 Court Square, Blakely",31.377029399999998,-84.9336417,"31.37702939999999,-84.9336417",Blakely,Georgia,Early County,Agri Insurance Services
344,Georgia Farm Bureau,OPERATIONAL,"118 School Street Northeast, Morgan",31.537834999999998,-84.59898740000001,"31.537834999999998,-84.59898740000001",Morgan,Georgia,Calhoun County,Farm Bureau
345,Conner Agency,OPERATIONAL,"17415 Highland Avenue South, Arlington",31.4369561,-84.72484920000001,"31.4369561,-84.72484920000001",Arlington,Georgia,Calhoun County,Conner Agency
346,Colquitt Insurance & Realty Services Inc,OPERATIONAL,"167 East Crawford Street, Colquitt",31.1695087,-84.7308615,"31.1695087,-84.7308615",Colquitt,Georgia,Miller County,Colquitt Insurance & Realty Services Inc
347,Clenney Insurance of Blakely,OPERATIONAL,"8 Liberty Street, Blakely",31.376204600000005,-84.93606209999999,"31.376204600000005,-84.93606210000002",Blakely,Georgia,Early County,Clenney Insurance of Blakely
348,Michelle Kleckley - State Farm Insurance Agent,OPERATIONAL,"12799 Magnolia Street, Blakely",31.377755800000003,-84.9301477,"31.377755800000003,-84.93014769999998",Blakely,Georgia,Early County,Statefarm
349,Lane Crop Insurance,OPERATIONAL,"239 East Grow Street, Colquitt",31.164702899999998,-84.72649240000001,"31.164702899999998,-84.72649240000001",Colquitt,Georgia,Miller County,Lane Crop Insurance
350,Opportunity Tax Service,OPERATIONAL,"866 Blakely Street, Cuthbert",31.7705179,-84.7892483,"31.7705179,-84.7892483",Cuthbert,Georgia,Randolph County,Opportunity Tax Service
351,Whittaker Insurance and Realty,OPERATIONAL,"206 South Knox Avenue, Donalsonville",31.041112599999998,-84.8843721,"31.041112599999998,-84.8843721",Donalsonville,Georgia,Seminole County,Whittaker Insurance and Realty
352,Burke Insurance,OPERATIONAL,"210 South Woolfork Avenue, Donalsonville",31.041303999999997,-84.8810394,"31.04130400000001,-84.88103939999998",Donalsonville,Georgia,Seminole County,Burke Insurance
353,State Farm Insurance Agnecy,OPERATIONAL,"220 South Woolfork Avenue, Donalsonville",31.040997100000002,-84.8811181,"31.040997100000002,-84.8811181",Donalsonville,Georgia,Seminole County,Statefarm
354,Amanda Palmer - State Farm Insurance Agent,OPERATIONAL,"809 South Tennille Avenue, Donalsonville",31.032300300000003,-84.8792459,"31.032300300000003,-84.8792459",Donalsonville,Georgia,Seminole County,Statefarm
355,Georgia Farm Bureau,OPERATIONAL,"44 Court Street, Morgan",31.537996500000002,-84.5989182,"31.537996500000002,-84.5989182",Morgan,Georgia,Calhoun County,Farm Bureau
356,Georgia Farm Bureau,OPERATIONAL,"314 E Bremond Street, Colquitt",31.1687549,-84.7246382,"31.1687549,-84.7246382",Colquitt,Georgia,Miller County,Farm Bureau
357,Clenney Agency Inc,OPERATIONAL,"514 East Crawford Street, Colquitt",31.166316899999998,-84.7244644,"31.166316899999998,-84.7244644",Colquitt,Georgia,Miller County,Clenney Agency Inc
358,JPS- Commercial & Residential(Home)Inspection Services.,OPERATIONAL,"674 Winifred Road, Leesburg",31.629815,-84.2895749,"31.629815,-84.28957489999998",Leesburg,Georgia,Lee County,JPS- Commercial & Residential(Home)Inspection Services.
359,Jennings Insurance,OPERATIONAL,"1020 Barber Creek Drive #312, Watkinsville",33.902994,-83.463074,"33.902994,-83.46307399999998",Watkinsville,Georgia,Oconee County,Jennings Insurance
360,"A/R Auto Sales, Inc",OPERATIONAL,"961 Elbert Street, Elberton",34.0916671,-82.8468345,"34.0916671,-82.8468345",Elberton,Georgia,Elbert County,"A/R Auto Sales, Inc"
361,McGriff Insurance Services,OPERATIONAL,"1071 Founders Boulevard Suite B, Athens",33.9084849,-83.45335440000001,"33.9084849,-83.45335440000001",Athens,Georgia,Oconee County,McGriff Insurance Services
362,Lawrence Joseph,OPERATIONAL,"1199 Prince Avenue, Athens",33.961187200000005,-83.3982944,"33.961187200000005,-83.3982944",Athens,Georgia,Clarke County,Lawrence Joseph
363,Premier Insurance,OPERATIONAL,"3620 Atlanta Highway #A, Athens",33.9404154,-83.455141,"33.9404154,-83.455141",Athens,Georgia,Clarke County,Premier Insurance
364,Boswell Group,OPERATIONAL,"788 Prince Avenue, Athens",33.9618102,-83.3905957,"33.9618102,-83.39059569999998",Athens,Georgia,Clarke County,Boswell Group
365,Darby Insurance,OPERATIONAL,"780 U.S. 29, Athens",33.9968839,-83.335474,"33.9968839,-83.335474",Athens,Georgia,Clarke County,Darby Insurance
366,Christopher Green - Aflac Insurance Agent,OPERATIONAL,"1120 Apalachee Down Drive, Bogart",33.856845,-83.565446,"33.856845,-83.565446",Bogart,Georgia,Oconee County,Aflac
367,Stand Guard Insurance Agency,OPERATIONAL,"2500 West Broad Street #411, Athens",33.9459063,-83.4204074,"33.9459063,-83.4204074",Athens,Georgia,Clarke County,Stand Guard Insurance Agency
368,Worth Insurance,OPERATIONAL,"126 North Isabella Street, Sylvester",31.527126199999998,-83.8376533,"31.527126199999998,-83.8376533",Sylvester,Georgia,Worth County,Worth Insurance
369,Custard Insurance Adjusters,OPERATIONAL,"1810 U.S. 41, Tifton",31.471731400000003,-83.51915279999999,"31.471731400000003,-83.51915279999999",Tifton,Georgia,Tift County,Custard Insurance Adjusters
370,Darby Veazey - State Farm Insurance Agent,OPERATIONAL,"615 Virginia Avenue North c, Tifton",31.462524,-83.526351,"31.462524,-83.52635099999998",Tifton,Georgia,Tift County,Statefarm
371,Sports Medicine & Orthopaedic Institute of Gwinnett - Winder Georgia,OPERATIONAL,"24 Amherst Drive, Winder",34.0096234,-83.705717,"34.0096234,-83.70571699999998",Winder,Georgia,Barrow County,Sports Medicine & Orthopaedic Institute of Gwinnett - Winder Georgia
372,Choice Agency,OPERATIONAL,"122 Washington Street #1, Jefferson",34.1189732,-83.57414659999999,"34.11897319999999,-83.57414659999999",Jefferson,Georgia,Jackson County,Choice Agency
373,Hock & Associates Inc,OPERATIONAL,"215 Hawthorne Park # C4, Athens",33.9689936,-83.41798,"33.9689936,-83.41798",Athens,Georgia,Clarke County,Hock & Associates Inc
374,Ammerrit Marketing Group - AIR,OPERATIONAL,"400 West Peachtree Street Northwest, Atlanta",33.765463200000006,-84.3877429,"33.765463200000006,-84.38774289999998",Atlanta,Georgia,Fulton County,Ammerrit Marketing Group - AIR
375,Agency For Toxic Substances,OPERATIONAL,"61 Forsyth Street Southwest, Atlanta",33.7531694,-84.393435,"33.7531694,-84.393435",Atlanta,Georgia,Fulton County,Agency For Toxic Substances
376,Martin Tanner & Associates,OPERATIONAL,"136 Pryor Street Southwest, Atlanta",33.750812700000004,-84.390919,"33.750812700000004,-84.390919",Atlanta,Georgia,Fulton County,Martin Tanner & Associates
377,Raeside Title Co Inc,OPERATIONAL,"136 Pryor Street Southwest, Atlanta",33.750812700000004,-84.390919,"33.750812700000004,-84.390919",Atlanta,Georgia,Fulton County,Raeside Title Co Inc
378,Unumprovident,OPERATIONAL,"250 Williams Street Northwest, Atlanta",33.7616294,-84.39130259999999,"33.7616294,-84.39130259999999",Atlanta,Georgia,Fulton County,Unumprovident
379,Underwood William,OPERATIONAL,"55 Ivan Allen Junior Boulevard Northwest, Atlanta",33.7652518,-84.38960329999999,"33.7652518,-84.38960329999998",Atlanta,Georgia,Fulton County,Underwood William
380,Cigna,OPERATIONAL,"2 Peachtree Street, Atlanta",33.75395,-84.3902692,"33.75395,-84.39026919999998",Atlanta,Georgia,Fulton County,Cigna
381,Mcrae Marjorie,OPERATIONAL,"191 Peachtree Street Northeast # 3300, Atlanta",33.7590381,-84.3872591,"33.7590381,-84.3872591",Atlanta,Georgia,Fulton County,Mcrae Marjorie
382,Shiron Kilgore - State Farm Insurance Agent,OPERATIONAL,"42 Forsyth Street Northwest, Atlanta",33.7559124,-84.3906848,"33.7559124,-84.3906848",Atlanta,Georgia,Fulton County,Statefarm
383,Atlanta International RMI,OPERATIONAL,"101 Marietta Street NorthWest #2425, Atlanta",33.7563612,-84.391786,"33.7563612,-84.391786",Atlanta,Georgia,Fulton County,Atlanta International RMI
384,Communications Assurance & Performance Group CAP LAB.,OPERATIONAL,"34 Peachtree Street, Atlanta",33.754932700000005,-84.3896869,"33.754932700000005,-84.3896869",Atlanta,Georgia,Fulton County,Communications Assurance & Performance Group CAP LAB.
385,Nationwide Insurance: Slater Insurance Agency LLC,OPERATIONAL,"501 Pulliam Street Southwest Ste 514-A, Atlanta",33.741242299999996,-84.39268220000001,"33.741242299999996,-84.39268220000001",Atlanta,Georgia,Fulton County,Nationwide
386,Braden Fellman Group Ltd,OPERATIONAL,"300 Martin Luther King Junior Drive Southeast S, Atlanta",33.7477574,-84.37788370000001,"33.7477574,-84.37788370000001",Atlanta,Georgia,Fulton County,Braden Fellman Group Ltd
387,Iron House Insurance & Real Estate,OPERATIONAL,"325 Edgewood Avenue Southeast, Atlanta",33.7541972,-84.3770808,"33.7541972,-84.3770808",Atlanta,Georgia,Fulton County,Iron House Insurance & Real Estate
388,Security Global Solution,OPERATIONAL,"260 Peachtree Street # 2200, Atlanta",33.7615226,-84.3879612,"33.7615226,-84.38796119999998",Atlanta,Georgia,Fulton County,Security Global Solution
389,Auburn Management LLC,OPERATIONAL,"193 Auburn Avenue Northeast, Atlanta",33.755297,-84.381393,"33.755297,-84.381393",Atlanta,Georgia,Fulton County,Auburn Management LLC
390,GEBCorp,OPERATIONAL,"191 Peachtree Tower, 191 Peachtree Street, Atlanta",33.7589915,-84.3868175,"33.7589915,-84.38681749999998",Atlanta,Georgia,Fulton County,GEBCorp
391,American Standard,OPERATIONAL,"236 Washington Street Southwest, Atlanta",33.748570799999996,-84.3896129,"33.748570799999996,-84.3896129",Atlanta,Georgia,Fulton County,American Standard
392,"Infinite Global Solutions, Inc",OPERATIONAL,"236 Forsyth Street Southwest #103, Atlanta",33.748152600000004,-84.3969036,"33.748152600000004,-84.3969036",Atlanta,Georgia,Fulton County,"Infinite Global Solutions, Inc"
393,Nationwide Insurance: Joseph R Porter,OPERATIONAL,"12 1st Avenue Northeast, Cairo",30.877444399999995,-84.2076279,"30.87744440000001,-84.20762789999998",Cairo,Georgia,Grady County,Nationwide
394,"Second Chance Insurance Agency, LLC",OPERATIONAL,"830 East Shotwell Street, Bainbridge",30.903683299999997,-84.56653859999999,"30.903683299999997,-84.56653859999999",Bainbridge,Georgia,Decatur County,"Second Chance Insurance Agency, LLC"
395,Nationwide Insurance: Thai Chang Agency Inc.,OPERATIONAL,"3980 Peachtree Industrial Boulevard #100, Duluth",33.983382899999995,-84.1709036,"33.983382899999995,-84.1709036",Duluth,Georgia,Gwinnett County,Nationwide
396,Fresenius Medical Care at Emory Johns Creek Hosp,OPERATIONAL,"6325 Hospital Parkway, Johns Creek",34.0667005,-84.1764319,"34.0667005,-84.1764319",Johns Creek,Georgia,Fulton County,Fresenius Medical Care at Emory Johns Creek Hosp
397,Chui Agencies,OPERATIONAL,"3620 Dekalb Technology Parkway Suite 160, Atlanta",33.88316,-84.2702457,"33.88316,-84.27024569999998",Atlanta,Georgia,DeKalb County,Chui Agencies
398,Morpho Trust USA,OPERATIONAL,"2206 Eastview Parkway Northeast, Conyers",33.666786,-83.975138,"33.666786,-83.975138",Conyers,Georgia,Rockdale County,Morpho Trust USA
399,"Pinkerton Financial Resources, LLC",OPERATIONAL,"3548 Old Milton Parkway, Alpharetta",34.0664818,-84.2561464,"34.0664818,-84.25614639999998",Alpharetta,Georgia,Fulton County,"Pinkerton Financial Resources, LLC"
400,CAG Insurance Group,OPERATIONAL,"6340 Sugarloaf Parkway, Duluth",33.990249,-84.0906421,"33.990249,-84.0906421",Duluth,Georgia,Gwinnett County,CAG Insurance Group
401,B F Re Underwriters,OPERATIONAL,"6455 East Johns Crossing # 310, Duluth",34.0624746,-84.1694623,"34.0624746,-84.16946229999998",Johns Creek,Georgia,Fulton County,B F Re Underwriters
402,Andrew Herman,OPERATIONAL,"3556 Old Milton Parkway, Alpharetta",34.066579700000005,-84.2561037,"34.066579700000005,-84.2561037",Alpharetta,Georgia,Fulton County,Andrew Herman
403,CSI Insurance Agency,OPERATIONAL,"316 Maxwell Road #100, Alpharetta",34.0669624,-84.3002351,"34.0669624,-84.3002351",Alpharetta,Georgia,Fulton County,CSI Insurance Agency
404,Fox Everett Insurance,OPERATIONAL,"12600 Deerfield Parkway # 100, Alpharetta",34.0895221,-84.2707736,"34.0895221,-84.2707736",Alpharetta,Georgia,Fulton County,Fox Everett Insurance
405,Guardian Life Insurance Co-America,OPERATIONAL,"12600 Deerfield Parkway, Alpharetta",34.0895221,-84.2707736,"34.0895221,-84.2707736",Alpharetta,Georgia,Fulton County,Guardian Life Insurance Co-America
406,Jason Wright - COUNTRY Financial representative,OPERATIONAL,"3325 Duluth Highway Ste 104, Duluth",33.9978861,-84.1392469,"33.9978861,-84.1392469",Duluth,Georgia,Gwinnett County,Country
407,Nationwide Insurance: John Hurst Insurance Group Inc.,OPERATIONAL,"3540 Wheeler Road Ste 108, Augusta",33.4850707,-82.07675259999999,"33.4850707,-82.07675259999998",Augusta,Georgia,Richmond County,Nationwide
408,Insurance Designers of America,OPERATIONAL,"1450 Greene Street #95, Augusta",33.477174,-81.98190600000001,"33.477174,-81.98190600000001",Augusta,Georgia,Richmond County,Insurance Designers of America
409,Mutual of Omaha,OPERATIONAL,"153 Davis Road #103, Martinez",33.5100107,-82.0842849,"33.5100107,-82.08428490000001",Martinez,Georgia,Columbia County,Mutual of Omaha
410,"Affordable Insurance Agency, Inc.",OPERATIONAL,"2803 Wrightsboro Road #12, Augusta",33.470473600000005,-82.03641850000001,"33.47047360000001,-82.03641850000001",Augusta,Georgia,Richmond County,"Affordable Insurance Agency, Inc."
411,Kelley Lawrence - State Farm Insurance Agent,OPERATIONAL,"4779 Washington Road, Evans",33.5599184,-82.1647608,"33.5599184,-82.1647608",Evans,Georgia,Columbia County,Statefarm
412,American Family Greater Augusta Branch American Family Insurance,OPERATIONAL,"4446 Washington Road, Evans",33.543543199999995,-82.1423365,"33.54354320000001,-82.1423365",Evans,Georgia,Columbia County,American Family
413,Hussey William,OPERATIONAL,"1450 Greene Street # 222, Augusta",33.4775239,-81.98190090000001,"33.4775239,-81.98190090000001",Augusta,Georgia,Richmond County,Hussey William
414,Georgia Farm Bureau,OPERATIONAL,"2550 Georgia 88, Hephzibah",33.3125488,-82.1001778,"33.3125488,-82.1001778",Hephzibah,Georgia,Richmond County,Farm Bureau
415,Aflac Augusta Ga,OPERATIONAL,"3150 Perimeter Parkway #115, Augusta",33.4910346,-82.08866929999999,"33.4910346,-82.08866929999998",Augusta,Georgia,Richmond County,Aflac
416,GEICO Insurance Agent,OPERATIONAL,"630 Crane Creek Drive Suite 303, Augusta",33.4966501,-82.07883149999999,"33.4966501,-82.07883149999998",Augusta,Georgia,Richmond County,GEICO Insurance Agent
417,Georgia Farm Bureau,OPERATIONAL,"330 West Milledgeville Road, Harlem",33.416544,-82.31784499999999,"33.416544,-82.31784499999998",Harlem,Georgia,Columbia County,Farm Bureau
418,Allstate,OPERATIONAL,"0231, 119 Davis Road suite 9c, Martinez",33.509207,-82.084836,"33.509207,-82.084836",Martinez,Georgia,Columbia County,Allstate
419,Austin Taylor Insurance Agency,OPERATIONAL,"3703 Washington Road, Martinez",33.514692,-82.0823118,"33.51469199999999,-82.0823118",Martinez,Georgia,Columbia County,Austin Taylor Insurance Agency
420,Owings Timothy,OPERATIONAL,"1 10th Street Suite 600, Augusta",33.4792875,-81.96856729999999,"33.4792875,-81.96856729999998",Augusta,Georgia,Richmond County,Owings Timothy
421,Matt Murphy: Allstate Insurance,OPERATIONAL,"204 Pleasant Home Road, Augusta",33.5125618,-82.0707817,"33.5125618,-82.0707817",Augusta,Georgia,Richmond County,Allstate
422,Global Insurance & Associates Inc,OPERATIONAL,"5108 Wrightsboro Road, Grovetown",33.4573646,-82.1952069,"33.4573646,-82.1952069",Grovetown,Georgia,Columbia County,Global Insurance & Associates Inc
423,L.A. Insurance,OPERATIONAL,"2841 Greenbriar Parkway Southwest, Atlanta",33.6893508,-84.49171199999999,"33.6893508,-84.49171199999999",Atlanta,Georgia,Fulton County,L.A. Insurance
424,Southern Employee Benefits,OPERATIONAL,"3334 Peachtree Road, Atlanta",33.8492074,-84.3708417,"33.8492074,-84.3708417",Atlanta,Georgia,Fulton County,Southern Employee Benefits
425,Tristar Risk Management,OPERATIONAL,"1140 Hammond Drive Northeast J2075, Atlanta",33.9207434,-84.34972509999999,"33.9207434,-84.34972509999999",Sandy Springs,Georgia,Fulton County,Tristar Risk Management
426,Safeco Insurance Agent,OPERATIONAL,"3901 Roswell Road #115, Marietta",33.9784809,-84.43819,"33.978480899999994,-84.43818999999998",Marietta,Georgia,Cobb County,Safeco Insurance Agent
427,"Southern States Insurance, Inc. of Toccoa",OPERATIONAL,"1494 Rosedale Street, Toccoa",34.579725700000004,-83.31558609999999,"34.579725700000004,-83.31558609999998",Toccoa,Georgia,Stephens County,"Southern States Insurance, Inc. of Toccoa"
428,Skelton-Morris Associates,OPERATIONAL,"26 Chandler Center, Hartwell",34.362533,-82.9352185,"34.36253299999999,-82.93521849999998",Hartwell,Georgia,Hart County,Skelton-Morris Associates
429,Georgia Farm Bureau,OPERATIONAL,"341 West Howell Street, Hartwell",34.356643299999995,-82.9436918,"34.356643299999995,-82.94369180000002",Hartwell,Georgia,Hart County,Farm Bureau
430,Jack Bradley Agency Inc,OPERATIONAL,"138 Market Corners Dr, Cornelia",34.536261700000004,-83.53829329999999,"34.53626169999999,-83.53829329999998",Cornelia,Georgia,Habersham County,Jack Bradley Agency Inc
431,Gateway Financial Solutions,OPERATIONAL,"90 East Franklin Street, Hartwell",34.3524607,-82.9279478,"34.35246070000001,-82.9279478",Hartwell,Georgia,Hart County,Gateway Financial Solutions
432,Georgia Farm Bureau,OPERATIONAL,"3793 Georgia 17, Eastanollee",34.551457899999996,-83.2822895,"34.551457899999996,-83.28228949999998",Eastanollee,Georgia,Stephens County,Farm Bureau
433,Allstate,OPERATIONAL,United States,34.5806885,-83.33337490000001,"34.5806885,-83.33337490000001",Toccoa,Georgia,Stephens County,Allstate
434,Louise T. Morris,OPERATIONAL,"141 West Savannah Street #103, Toccoa",34.5805223,-83.33228299999999,"34.58052230000001,-83.33228299999998",Toccoa,Georgia,Stephens County,Louise T. Morris
435,Amcor Inc,OPERATIONAL,"810 Macon Highway, Warrenton",33.3978619,-82.67619029999999,"33.3978619,-82.67619029999999",Warrenton,Georgia,Warren County,Amcor Inc
436,Lenny Schaeffer - State Farm Insurance Agent,OPERATIONAL,"634 Main Street, Thomson",33.4791808,-82.5053333,"33.4791808,-82.50533329999998",Thomson,Georgia,McDuffie County,Statefarm
437,Brian Machalk - Aflac Insurance Agent,OPERATIONAL,"2042 Paul Cobb Rd, Bartow",32.9848345,-82.5316965,"32.98483449999999,-82.5316965",Bartow,Georgia,Jefferson County,Aflac
438,Ricketson Insurance Solutions,OPERATIONAL,"955 Augusta Road, Thomson",33.458704499999996,-82.4803935,"33.458704499999996,-82.48039349999998",Thomson,Georgia,McDuffie County,Ricketson Insurance Solutions
439,James D Usry - Aflac Insurance Agent,OPERATIONAL,"3149 Quail Farm Road, Thomson",33.3931576,-82.4911988,"33.39315759999999,-82.49119879999998",Thomson,Georgia,McDuffie County,Aflac
440,Ricketson Insurance & Realty,OPERATIONAL,"556 Main Street, Warrenton",33.4070508,-82.66299129999999,"33.4070508,-82.66299129999999",Warrenton,Georgia,Warren County,Ricketson Insurance & Realty
441,Yeomans Agency,OPERATIONAL,"606 Mulberry Street #87, Louisville",33.0001578,-82.40883050000001,"33.0001578,-82.40883050000001",Louisville,Georgia,Jefferson County,Yeomans Agency
442,Allstate,OPERATIONAL,"955 Augusta Road, Thomson",33.4586874,-82.48039820000001,"33.4586874,-82.48039820000001",Thomson,Georgia,McDuffie County,Allstate
443,Cotton States Insurance,OPERATIONAL,"103 West Broad Street, Louisville",33.0001842,-82.40916870000001,"33.00018419999999,-82.40916870000001",Louisville,Georgia,Jefferson County,Cotton States Insurance
444,Parker Insurance,OPERATIONAL,"132 East Church Street, Sandersville",32.9812042,-82.81007120000001,"32.9812042,-82.81007120000001",Sandersville,Georgia,Washington County,Parker Insurance
445,Jonathan Kent - Aflac Insurance Agent,OPERATIONAL,"316 Johnson Street, Warrenton",33.4056656,-82.6560085,"33.40566559999999,-82.6560085",Warrenton,Georgia,Warren County,Aflac
446,Wade Register - State Farm Insurance Agent,OPERATIONAL,"110 Martin Luther King Junior Avenue, Sandersville",32.968909499999995,-82.8093287,"32.968909499999995,-82.8093287",Sandersville,Georgia,Washington County,Statefarm
447,John Carter - COUNTRY Financial representative,OPERATIONAL,"106 West Broad Street, Louisville",32.999665500000006,-82.40951109999999,"32.999665500000006,-82.40951109999999",Louisville,Georgia,Jefferson County,Country
448,Craig King - Cotton States Insurance,OPERATIONAL,"1258 Washington Road, Thomson",33.490562,-82.5041311,"33.490562,-82.5041311",Thomson,Georgia,McDuffie County,Cotton States Insurance
449,Direct Auto Insurance - Thomson,OPERATIONAL,"679 Main Street, Thomson",33.4827599,-82.50684670000001,"33.4827599,-82.50684670000001",Thomson,Georgia,McDuffie County,Direct Auto Insurance - Thomson
450,Nationwide Insurance: R M Bush & Company,OPERATIONAL,"125 East Church Street A, Sandersville",32.9821364,-82.8100341,"32.98213639999999,-82.8100341",Sandersville,Georgia,Washington County,Nationwide
451,Allstate Insurance Agent: Aaron Myers,OPERATIONAL,"1253 Washington Road, Thomson",33.490497,-82.505509,"33.490497,-82.50550899999998",Thomson,Georgia,McDuffie County,Allstate
452,MetLife Auto & Home dba Wells Insurance Brokers LLC,OPERATIONAL,"Liberty Street, Waynesboro",33.099109000000006,-82.022402,"33.099109000000006,-82.022402",Waynesboro,Georgia,Burke County,MetLife Auto & Home dba Wells Insurance Brokers LLC
453,Handberry Don,OPERATIONAL,"121 West Broad Street # 1, Louisville",33.0000488,-82.4096205,"33.00004879999999,-82.4096205",Louisville,Georgia,Jefferson County,Handberry Don
454,Adela Ford - COUNTRY Financial representative,OPERATIONAL,"105 West Broad Street, Camilla",31.2313253,-84.21258470000001,"31.2313253,-84.21258470000001",Camilla,Georgia,Mitchell County,Country
455,Alfa Insurance Co,OPERATIONAL,"604 North Slappey Boulevard, Albany",31.584411199999998,-84.1755017,"31.58441119999999,-84.1755017",Albany,Georgia,Dougherty County,Alfa
456,Abacus Group,OPERATIONAL,"2541 Lafayette Plaza Drive, Albany",31.611841,-84.222099,"31.611841,-84.22209900000001",Albany,Georgia,Dougherty County,Abacus Group
457,Evans Jenelle,OPERATIONAL,"803 North Slappey Boulevard # A, Albany",31.588330600000003,-84.1763802,"31.58833060000001,-84.1763802",Albany,Georgia,Dougherty County,Evans Jenelle
458,Melinda Taylor - State Farm Insurance Agent,OPERATIONAL,"231 South Broad Street Suite 1, Bainbridge",30.9043316,-84.5754019,"30.90433160000001,-84.5754019",Bainbridge,Georgia,Decatur County,Statefarm
459,Palmer Insurance Agency,OPERATIONAL,"312 East Shotwell Street, Bainbridge",30.903794399999995,-84.5744662,"30.903794399999995,-84.57446619999997",Bainbridge,Georgia,Decatur County,Palmer Insurance Agency
460,Forsyth Insurance,OPERATIONAL,"725 East Shotwell Street, Bainbridge",30.9041255,-84.5695033,"30.9041255,-84.5695033",Bainbridge,Georgia,Decatur County,Forsyth Insurance
461,"Steve Elrod & Associates, Inc.",OPERATIONAL,"623 South West Street, Bainbridge",30.900389299999997,-84.57644090000001,"30.900389299999997,-84.57644090000001",Bainbridge,Georgia,Decatur County,"Steve Elrod & Associates, Inc."
462,Reynolds-Jeffords Insurance Agency,OPERATIONAL,"322 South West Street, Bainbridge",30.903219800000002,-84.5767403,"30.903219800000002,-84.5767403",Bainbridge,Georgia,Decatur County,Reynolds-Jeffords Insurance Agency
463,G W Insurance,OPERATIONAL,"105 North West Street, Bainbridge",30.905972499999997,-84.57669090000002,"30.905972499999997,-84.57669090000002",Bainbridge,Georgia,Decatur County,G W Insurance
464,"Second Chance Insurance Agency, LLC.",OPERATIONAL,"1609 E. Shotwell Street, Ste B, Bainbridge",30.905955600000006,-84.5755207,"30.90595559999999,-84.5755207",Bainbridge,Georgia,Decatur County,"Second Chance Insurance Agency, LLC."
465,Lance Wilson - COUNTRY Financial representative,OPERATIONAL,"814 South Scott Street, Bainbridge",30.8984627,-84.56843429999999,"30.8984627,-84.56843429999998",Bainbridge,Georgia,Decatur County,Country
466,GW Insurance Agency,OPERATIONAL,"223 South Sims Street, Bainbridge",30.904134600000003,-84.5612084,"30.904134600000003,-84.5612084",Bainbridge,Georgia,Decatur County,GW Insurance Agency
467,Clenney Insurance Agency,OPERATIONAL,"1712 East Shotwell Street, Bainbridge",30.9034744,-84.5467767,"30.9034744,-84.5467767",Bainbridge,Georgia,Decatur County,Clenney Insurance Agency
468,State Farm Insurance,OPERATIONAL,"431 2nd Avenue Southeast # A, Cairo",30.8755722,-84.2020187,"30.8755722,-84.20201870000002",Cairo,Georgia,Grady County,Statefarm
469,Trulock Agency,OPERATIONAL,"525 South West Street, Bainbridge",30.90131,-84.57633659999999,"30.90131,-84.57633659999998",Bainbridge,Georgia,Decatur County,Trulock Agency
470,La Sha Robinson - Aflac Insurance Agent,OPERATIONAL,"281 Hidden Meadows Drive, Maysville",34.251292,-83.55159300000001,"34.251292,-83.55159300000001",Maysville,Georgia,Jackson County,Aflac
471,Navigator Benefits,OPERATIONAL,"12460 Crabapple Road, Alpharetta",34.0858388,-84.356916,"34.0858388,-84.356916",Alpharetta,Georgia,Fulton County,Navigator Benefits
472,Roxi Perkins: Allstate Insurance,OPERATIONAL,"1080 Cambridge Square Ste B, Alpharetta",34.0680776,-84.3151816,"34.06807759999999,-84.3151816",Alpharetta,Georgia,Fulton County,Allstate
473,Jim Strickland Insurance,OPERATIONAL,"1041 Cambridge Square # A, Alpharetta",34.067593,-84.315105,"34.067593,-84.315105",Alpharetta,Georgia,Fulton County,Jim Strickland Insurance
474,Aflac,OPERATIONAL,"2733 Sheraton Drive # 175, Macon",32.8776548,-83.66390859999998,"32.8776548,-83.66390860000001",Macon,Georgia,Bibb County,Aflac
