agency_name,agency_status,agency_address,agency_latitude,agency_longitude,latlng,city,GA_state,county
American Family Greater Augusta Branch American Family Insurance,OPERATIONAL,"4446 Washington Road, Evans",33.5435432,-82.1423365,"33.54354320000001,-82.1423365",Evans,Georgia,Columbia County
Hussey William,OPERATIONAL,"1450 Greene Street # 222, Augusta",33.4775239,-81.9819009,"33.4775239,-81.98190090000001",Augusta,Georgia,Richmond County
Georgia Farm Bureau,OPERATIONAL,"2550 Georgia 88, Hephzibah",33.3125488,-82.1001778,"33.3125488,-82.1001778",Hephzibah,Georgia,Richmond County
Aflac Augusta Ga,OPERATIONAL,"3150 Perimeter Parkway #115, Augusta",33.4910346,-82.0886693,"33.4910346,-82.08866929999998",Augusta,Georgia,Richmond County
GEICO Insurance Agent,OPERATIONAL,"630 Crane Creek Drive Suite 303, Augusta",33.4966501,-82.0788315,"33.4966501,-82.07883149999998",Augusta,Georgia,Richmond County
Georgia Farm Bureau,OPERATIONAL,"330 West Milledgeville Road, Harlem",33.416544,-82.317845,"33.416544,-82.31784499999998",Harlem,Georgia,Columbia County
Allstate,OPERATIONAL,"0231, 119 Davis Road suite 9c, Martinez",33.509207,-82.084836,"33.509207,-82.084836",Martinez,Georgia,Columbia County
Austin Taylor Insurance Agency,OPERATIONAL,"3703 Washington Road, Martinez",33.514692,-82.0823118,"33.51469199999999,-82.0823118",Martinez,Georgia,Columbia County
Owings Timothy,OPERATIONAL,"1 10th Street Suite 600, Augusta",33.4792875,-81.9685673,"33.4792875,-81.96856729999998",Augusta,Georgia,Richmond County
Matt Murphy: Allstate Insurance,OPERATIONAL,"204 Pleasant Home Road, Augusta",33.5125618,-82.0707817,"33.5125618,-82.0707817",Augusta,Georgia,Richmond County
Global Insurance & Associates Inc,OPERATIONAL,"5108 Wrightsboro Road, Grovetown",33.4573646,-82.1952069,"33.4573646,-82.1952069",Grovetown,Georgia,Columbia County
L.A. Insurance,OPERATIONAL,"2841 Greenbriar Parkway Southwest, Atlanta",33.6893508,-84.491712,"33.6893508,-84.49171199999999",Atlanta,Georgia,Fulton County
Southern Employee Benefits,OPERATIONAL,"3334 Peachtree Road, Atlanta",33.8492074,-84.3708417,"33.8492074,-84.3708417",Atlanta,Georgia,Fulton County
Tristar Risk Management,OPERATIONAL,"1140 Hammond Drive Northeast J2075, Atlanta",33.9207434,-84.3497251,"33.9207434,-84.34972509999999",Sandy Springs,Georgia,Fulton County
Safeco Insurance Agent,OPERATIONAL,"3901 Roswell Road #115, Marietta",33.9784809,-84.43819,"33.978480899999994,-84.43818999999998",Marietta,Georgia,Cobb County
"Southern States Insurance, Inc. of Toccoa",OPERATIONAL,"1494 Rosedale Street, Toccoa",34.5797257,-83.3155861,"34.579725700000004,-83.31558609999998",Toccoa,Georgia,Stephens County
Skelton-Morris Associates,OPERATIONAL,"26 Chandler Center, Hartwell",34.362533,-82.9352185,"34.36253299999999,-82.93521849999998",Hartwell,Georgia,Hart County
Georgia Farm Bureau,OPERATIONAL,"341 West Howell Street, Hartwell",34.3566433,-82.9436918,"34.356643299999995,-82.94369180000002",Hartwell,Georgia,Hart County
Jack Bradley Agency Inc,OPERATIONAL,"138 Market Corners Dr, Cornelia",34.5362617,-83.5382933,"34.53626169999999,-83.53829329999998",Cornelia,Georgia,Habersham County
Gateway Financial Solutions,OPERATIONAL,"90 East Franklin Street, Hartwell",34.3524607,-82.9279478,"34.35246070000001,-82.9279478",Hartwell,Georgia,Hart County
Georgia Farm Bureau,OPERATIONAL,"3793 Georgia 17, Eastanollee",34.5514579,-83.2822895,"34.551457899999996,-83.28228949999998",Eastanollee,Georgia,Stephens County
Allstate,OPERATIONAL,United States,34.5806885,-83.3333749,"34.5806885,-83.33337490000001",Toccoa,Georgia,Stephens County
Louise T. Morris,OPERATIONAL,"141 West Savannah Street #103, Toccoa",34.5805223,-83.332283,"34.58052230000001,-83.33228299999998",Toccoa,Georgia,Stephens County
Amcor Inc,OPERATIONAL,"810 Macon Highway, Warrenton",33.3978619,-82.6761903,"33.3978619,-82.67619029999999",Warrenton,Georgia,Warren County
Lenny Schaeffer - State Farm Insurance Agent,OPERATIONAL,"634 Main Street, Thomson",33.4791808,-82.5053333,"33.4791808,-82.50533329999998",Thomson,Georgia,McDuffie County
Brian Machalk - Aflac Insurance Agent,OPERATIONAL,"2042 Paul Cobb Rd, Bartow",32.9848345,-82.5316965,"32.98483449999999,-82.5316965",Bartow,Georgia,Jefferson County
Ricketson Insurance Solutions,OPERATIONAL,"955 Augusta Road, Thomson",33.4587045,-82.4803935,"33.458704499999996,-82.48039349999998",Thomson,Georgia,McDuffie County
James D Usry - Aflac Insurance Agent,OPERATIONAL,"3149 Quail Farm Road, Thomson",33.3931576,-82.4911988,"33.39315759999999,-82.49119879999998",Thomson,Georgia,McDuffie County
Ricketson Insurance & Realty,OPERATIONAL,"556 Main Street, Warrenton",33.4070508,-82.6629913,"33.4070508,-82.66299129999999",Warrenton,Georgia,Warren County
Yeomans Agency,OPERATIONAL,"606 Mulberry Street #87, Louisville",33.0001578,-82.4088305,"33.0001578,-82.40883050000001",Louisville,Georgia,Jefferson County
Allstate,OPERATIONAL,"955 Augusta Road, Thomson",33.4586874,-82.4803982,"33.4586874,-82.48039820000001",Thomson,Georgia,McDuffie County
Cotton States Insurance,OPERATIONAL,"103 West Broad Street, Louisville",33.0001842,-82.4091687,"33.00018419999999,-82.40916870000001",Louisville,Georgia,Jefferson County
Parker Insurance,OPERATIONAL,"132 East Church Street, Sandersville",32.9812042,-82.8100712,"32.9812042,-82.81007120000001",Sandersville,Georgia,Washington County
Jonathan Kent - Aflac Insurance Agent,OPERATIONAL,"316 Johnson Street, Warrenton",33.4056656,-82.6560085,"33.40566559999999,-82.6560085",Warrenton,Georgia,Warren County
Wade Register - State Farm Insurance Agent,OPERATIONAL,"110 Martin Luther King Junior Avenue, Sandersville",32.9689095,-82.8093287,"32.968909499999995,-82.8093287",Sandersville,Georgia,Washington County
John Carter - COUNTRY Financial representative,OPERATIONAL,"106 West Broad Street, Louisville",32.9996655,-82.4095111,"32.999665500000006,-82.40951109999999",Louisville,Georgia,Jefferson County
Craig King - Cotton States Insurance,OPERATIONAL,"1258 Washington Road, Thomson",33.490562,-82.5041311,"33.490562,-82.5041311",Thomson,Georgia,McDuffie County
Direct Auto Insurance - Thomson,OPERATIONAL,"679 Main Street, Thomson",33.4827599,-82.5068467,"33.4827599,-82.50684670000001",Thomson,Georgia,McDuffie County
Nationwide Insurance: R M Bush & Company,OPERATIONAL,"125 East Church Street A, Sandersville",32.9821364,-82.8100341,"32.98213639999999,-82.8100341",Sandersville,Georgia,Washington County
Allstate Insurance Agent: Aaron Myers,OPERATIONAL,"1253 Washington Road, Thomson",33.490497,-82.505509,"33.490497,-82.50550899999998",Thomson,Georgia,McDuffie County
MetLife Auto & Home dba Wells Insurance Brokers LLC,OPERATIONAL,"Liberty Street, Waynesboro",33.099109,-82.022402,"33.099109000000006,-82.022402",Waynesboro,Georgia,Burke County
Handberry Don,OPERATIONAL,"121 West Broad Street # 1, Louisville",33.0000488,-82.4096205,"33.00004879999999,-82.4096205",Louisville,Georgia,Jefferson County
Adela Ford - COUNTRY Financial representative,OPERATIONAL,"105 West Broad Street, Camilla",31.2313253,-84.2125847,"31.2313253,-84.21258470000001",Camilla,Georgia,Mitchell County
Alfa Insurance Co,OPERATIONAL,"604 North Slappey Boulevard, Albany",31.5844112,-84.1755017,"31.58441119999999,-84.1755017",Albany,Georgia,Dougherty County
Abacus Group,OPERATIONAL,"2541 Lafayette Plaza Drive, Albany",31.611841,-84.222099,"31.611841,-84.22209900000001",Albany,Georgia,Dougherty County
Evans Jenelle,OPERATIONAL,"803 North Slappey Boulevard # A, Albany",31.5883306,-84.1763802,"31.58833060000001,-84.1763802",Albany,Georgia,Dougherty County
Melinda Taylor - State Farm Insurance Agent,OPERATIONAL,"231 South Broad Street Suite 1, Bainbridge",30.9043316,-84.5754019,"30.90433160000001,-84.5754019",Bainbridge,Georgia,Decatur County
Palmer Insurance Agency,OPERATIONAL,"312 East Shotwell Street, Bainbridge",30.9037944,-84.5744662,"30.903794399999995,-84.57446619999997",Bainbridge,Georgia,Decatur County
Forsyth Insurance,OPERATIONAL,"725 East Shotwell Street, Bainbridge",30.9041255,-84.5695033,"30.9041255,-84.5695033",Bainbridge,Georgia,Decatur County
"Steve Elrod & Associates, Inc.",OPERATIONAL,"623 South West Street, Bainbridge",30.9003893,-84.5764409,"30.900389299999997,-84.57644090000001",Bainbridge,Georgia,Decatur County
Reynolds-Jeffords Insurance Agency,OPERATIONAL,"322 South West Street, Bainbridge",30.9032198,-84.5767403,"30.903219800000002,-84.5767403",Bainbridge,Georgia,Decatur County
G W Insurance,OPERATIONAL,"105 North West Street, Bainbridge",30.9059725,-84.5766909,"30.905972499999997,-84.57669090000002",Bainbridge,Georgia,Decatur County
"Second Chance Insurance Agency, LLC.",OPERATIONAL,"1609 E. Shotwell Street, Ste B, Bainbridge",30.9059556,-84.5755207,"30.90595559999999,-84.5755207",Bainbridge,Georgia,Decatur County
Lance Wilson - COUNTRY Financial representative,OPERATIONAL,"814 South Scott Street, Bainbridge",30.8984627,-84.5684343,"30.8984627,-84.56843429999998",Bainbridge,Georgia,Decatur County
GW Insurance Agency,OPERATIONAL,"223 South Sims Street, Bainbridge",30.9041346,-84.5612084,"30.904134600000003,-84.5612084",Bainbridge,Georgia,Decatur County
Clenney Insurance Agency,OPERATIONAL,"1712 East Shotwell Street, Bainbridge",30.9034744,-84.5467767,"30.9034744,-84.5467767",Bainbridge,Georgia,Decatur County
State Farm Insurance,OPERATIONAL,"431 2nd Avenue Southeast # A, Cairo",30.8755722,-84.2020187,"30.8755722,-84.20201870000002",Cairo,Georgia,Grady County
New York Life,OPERATIONAL,"127 West Railroad Street South, Pelham",31.1267029,-84.1524789,"31.126702899999998,-84.15247889999998",Pelham,Georgia,Mitchell County
Trulock Agency,OPERATIONAL,"525 South West Street, Bainbridge",30.90131,-84.5763366,"30.90131,-84.57633659999998",Bainbridge,Georgia,Decatur County
La Sha Robinson - Aflac Insurance Agent,OPERATIONAL,"281 Hidden Meadows Drive, Maysville",34.251292,-83.551593,"34.251292,-83.55159300000001",Maysville,Georgia,Jackson County
Navigator Benefits,OPERATIONAL,"12460 Crabapple Road, Alpharetta",34.0858388,-84.356916,"34.0858388,-84.356916",Alpharetta,Georgia,Fulton County
Roxi Perkins: Allstate Insurance,OPERATIONAL,"1080 Cambridge Square Ste B, Alpharetta",34.0680776,-84.3151816,"34.06807759999999,-84.3151816",Alpharetta,Georgia,Fulton County
Jim Strickland Insurance,OPERATIONAL,"1041 Cambridge Square # A, Alpharetta",34.067593,-84.315105,"34.067593,-84.315105",Alpharetta,Georgia,Fulton County
Aflac,OPERATIONAL,"2733 Sheraton Drive # 175, Macon",32.8776548,-83.6639086,"32.8776548,-83.66390860000001",Macon,Georgia,Bibb County
Southern Trust Insurance Company,OPERATIONAL,"5444 Riverside Drive, Macon",32.9385056,-83.719623,"32.93850559999999,-83.71962300000001",Macon,Georgia,Bibb County
Georgia Farm Bureau,OPERATIONAL,"100 Northside Crossing, Macon",32.8967443,-83.7027347,"32.8967443,-83.70273470000001",Macon,Georgia,Bibb County
Longevity Planning,OPERATIONAL,"Carriage Hills Drive, Griffin",33.2346567,-84.3023554,"33.234656699999995,-84.3023554",Griffin,Georgia,Spalding County
Insurance Brokers-Georgia Inc: Shaw Wanda D,OPERATIONAL,"212 South 10th Street, Griffin",33.2466493,-84.2685173,"33.2466493,-84.2685173",Griffin,Georgia,Spalding County
Sammons Insurance Inc,OPERATIONAL,"131 South Harris Street, Sandersville",32.9818726,-82.8107212,"32.98187259999999,-82.81072120000002",Sandersville,Georgia,Washington County
Primerica Financial Services,OPERATIONAL,"504 South Harris Street, Sandersville",32.9738709,-82.8095574,"32.973870899999994,-82.8095574",Sandersville,Georgia,Washington County
Horace Mann Insurance Co,OPERATIONAL,"312 East McCarty Street, Sandersville",32.988587,-82.8070527,"32.98858699999999,-82.8070527",Sandersville,Georgia,Washington County
Scarbrough Insurance,OPERATIONAL,"114 Malone Street, Sandersville",32.9838354,-82.8112825,"32.9838354,-82.81128249999998",Sandersville,Georgia,Washington County
Gail Wiley - COUNTRY Financial representative,OPERATIONAL,"310 South Harris Street, Sandersville",32.9782604,-82.8110185,"32.978260399999996,-82.8110185",Sandersville,Georgia,Washington County
Farmers Insurance - Ricky Peebles,OPERATIONAL,"112 North Harris Street, Sandersville",32.9832448,-82.8106099,"32.9832448,-82.8106099",Sandersville,Georgia,Washington County
Keystone Insurance Group,OPERATIONAL,"6, Georgia 56, Swainsboro",32.6492778,-82.3114458,"32.6492778,-82.3114458",Swainsboro,Georgia,Emanuel County
"Dawson, Taylor & Co Agent: Becky Cates",OPERATIONAL,"525 West 6th Street, Waynesboro",33.0875848,-82.0220239,"33.0875848,-82.02202390000001",Waynesboro,Georgia,Burke County
Black's Insurance Agency Inc.,OPERATIONAL,"147 East Church Street #2, Sandersville",32.9816809,-82.8092293,"32.98168089999999,-82.8092293",Sandersville,Georgia,Washington County
Georgia Farm Bureau,OPERATIONAL,"47 East Main Street, Gibson",33.23357,-82.5947929,"33.23356999999999,-82.5947929",Gibson,Georgia,Glascock County
Senior Life Insurance Company,OPERATIONAL,"1 Senior Life Lane, Thomasville",30.8171043,-84.002443,"30.8171043,-84.00244300000001",Thomasville,Georgia,Thomas County
Acceptance Insurance,OPERATIONAL,"15020 U.S. 19, Thomasville",30.8540691,-83.9442311,"30.8540691,-83.9442311",Thomasville,Georgia,Thomas County
Thomas County Farm Bureau: Simmons Eddie,OPERATIONAL,"2376 Georgia 122, Thomasville",30.8541799,-83.939407,"30.8541799,-83.93940699999999",Thomasville,Georgia,Thomas County
Big Oak Benefits Group,OPERATIONAL,"116 East Monroe Street, Thomasville",30.840639,-83.982333,"30.840639000000003,-83.982333",Thomasville,Georgia,Thomas County
Holwell-Fletcher Insurance Agency,OPERATIONAL,"603 East Screven Street, Quitman",30.7844454,-83.5549237,"30.784445399999996,-83.55492369999997",Quitman,Georgia,Brooks County
1st Choice Insurance Agency,OPERATIONAL,"1100 East Jackson Street D, Thomasville",30.8478503,-83.9642326,"30.84785029999999,-83.96423260000002",Thomasville,Georgia,Thomas County
J Keyton Co,OPERATIONAL,"518 North Broad Street, Thomasville",30.8424059,-83.9844679,"30.8424059,-83.9844679",Thomasville,Georgia,Thomas County
Stephen Gainous - State Farm Insurance Agent,OPERATIONAL,"117 West Jefferson Street, Thomasville",30.837945,-83.981681,"30.837945,-83.98168100000001",Thomasville,Georgia,Thomas County
Forsyth Insurance,OPERATIONAL,"127 East Jackson Street, Thomasville",30.8381023,-83.9795114,"30.8381023,-83.97951139999998",Thomasville,Georgia,Thomas County
J Smith Lanier & Co,OPERATIONAL,"327 North Broad Street, Thomasville",30.8399493,-83.9828936,"30.8399493,-83.9828936",Thomasville,Georgia,Thomas County
"Jason Morris Insurance Agency, LLC",OPERATIONAL,"27 2nd Avenue Southeast, Moultrie",31.1780915,-83.7880861,"31.178091499999997,-83.78808609999999",Moultrie,Georgia,Colquitt County
Lewis Insurance Inc,OPERATIONAL,"127 East Washington Street, Thomasville",30.840292,-83.980987,"30.84029199999999,-83.980987",Thomasville,Georgia,Thomas County
South Ga Benefits Consultants,OPERATIONAL,"312 North Crawford Street, Thomasville",30.8407487,-83.9807196,"30.840748699999995,-83.9807196",Thomasville,Georgia,Thomas County
Taylor Benefit Resource,OPERATIONAL,"164 Commercial Drive, Thomasville",30.8500023,-83.9428335,"30.8500023,-83.94283349999998",Thomasville,Georgia,Thomas County
Farmers Insurance - Venice Causey,OPERATIONAL,"107 North Crawford Street, Thomasville",30.8386471,-83.9794781,"30.838647100000003,-83.9794781",Thomasville,Georgia,Thomas County
Cotton States Insurance,OPERATIONAL,"113 South Tallahassee Street, Hazlehurst",31.8601433,-82.6043684,"31.8601433,-82.6043684",Hazlehurst,Georgia,Jeff Davis County
Cain Agency Inc.,OPERATIONAL,"113 South Tallahassee Street, Hazlehurst",31.8601524,-82.6043597,"31.860152399999997,-82.6043597",Hazlehurst,Georgia,Jeff Davis County
Title Cash,OPERATIONAL,"338 East Parker Street, Baxley",31.7765177,-82.3433028,"31.776517699999996,-82.34330279999998",Baxley,Georgia,Appling County
Lane Kelly,OPERATIONAL,"7 Simmons Shopping Ctr, Statesboro",32.4487876,-81.7831674,"32.448787599999996,-81.78316740000001",Statesboro,Georgia,Bulloch County
Georgia Farm Bureau,OPERATIONAL,"940 Northside Drive East, Statesboro",32.4436907,-81.7680453,"32.4436907,-81.7680453",Statesboro,Georgia,Bulloch County
Nicole Guarino - State Farm Insurance Agent,OPERATIONAL,"100 Brampton Avenue #1D, Statesboro",32.4130291,-81.7683626,"32.4130291,-81.76836259999999",Statesboro,Georgia,Bulloch County
Metter Insurance Agency,OPERATIONAL,"59 East North Broad Street, Metter",32.398129,-82.060433,"32.398129,-82.06043299999999",Metter,Georgia,Candler County
Tiffany Warnell - State Farm Insurance Agent,OPERATIONAL,"10 Stephens Street, Pembroke",32.1350649,-81.6237584,"32.13506489999999,-81.6237584",Pembroke,Georgia,Bryan County
Dewitt Insurance,OPERATIONAL,"701 Piedmont Loop # 400, Statesboro",32.4321966,-81.75968,"32.432196600000005,-81.75968000000002",Statesboro,Georgia,Bulloch County
Deloach Odell and Associates - New York Life,OPERATIONAL,"5 North Newton Street, Claxton",32.1619912,-81.9047344,"32.1619912,-81.90473440000002",Claxton,Georgia,Evans County
DeLoach Insurance Agency,OPERATIONAL,"13 West Main Street, Claxton",32.1614574,-81.9055518,"32.16145739999999,-81.9055518",Claxton,Georgia,Evans County
Threlkeld Insurance Agency,OPERATIONAL,"604 South Main Street, Glennville",31.9300004,-81.9318486,"31.930000399999997,-81.9318486",Glennville,Georgia,Tattnall County
Shane M Hadden Insurance Agency,OPERATIONAL,"64 North Rountree Street, Metter",32.398924,-82.06092,"32.398924,-82.06092",Metter,Georgia,Candler County
JJ Puccio - State Farm Insurance Agent,OPERATIONAL,"441 South Main Street Unit 124, Statesboro",32.435754,-81.7854079,"32.43575399999999,-81.7854079",Statesboro,Georgia,Bulloch County
Beasley's Insurance Inc,OPERATIONAL,"327 North Duval Street # B, Claxton",32.1632884,-81.9039991,"32.1632884,-81.9039991",Claxton,Georgia,Evans County
Parker Insurance,OPERATIONAL,"117 South Main Street, Reidsville",32.0862257,-82.1165334,"32.0862257,-82.11653340000001",Reidsville,Georgia,Tattnall County
Jones & Boyd Insurance Inc,OPERATIONAL,"8 South Rountree Street, Metter",32.3969578,-82.0617343,"32.396957799999996,-82.0617343",Metter,Georgia,Candler County
"Jones Land Title, Appraisals & Insurance",OPERATIONAL,"231 South East Broad Street, Metter",32.3971887,-82.0638632,"32.3971887,-82.0638632",Metter,Georgia,Candler County
Georgia Titles,OPERATIONAL,"58 South East Broad Street, Metter",32.3970671,-82.0602435,"32.3970671,-82.06024350000001",Metter,Georgia,Candler County
Chris D Webb Insurance,OPERATIONAL,"220 South Rountree Street, Metter",32.3953171,-82.0619157,"32.39531710000001,-82.0619157",Metter,Georgia,Candler County
Caughey Hearn - State Farm Insurance Agent,OPERATIONAL,"7573 U.S. 280, Claxton",32.1605872,-81.925633,"32.160587199999995,-81.92563299999998",Claxton,Georgia,Evans County
BestRate Auto Insurance,OPERATIONAL,"1180 Northside Drive East, Statesboro",32.4465065,-81.7703789,"32.4465065,-81.77037890000001",Statesboro,Georgia,Bulloch County
"Houston-Lovett & Associates Insurance Agency, LLC",OPERATIONAL,"1831 Northside Drive East, Statesboro",32.4544678,-81.7764513,"32.4544678,-81.77645129999998",Statesboro,Georgia,Bulloch County
Fountain Financial Services,OPERATIONAL,"15 5th Street Southeast A, Moultrie",31.1795445,-83.7826874,"31.179544500000002,-83.7826874",Moultrie,Georgia,Colquitt County
Parker Keith,OPERATIONAL,"501 South Main Street, Moultrie",31.1745547,-83.7884974,"31.1745547,-83.78849740000001",Moultrie,Georgia,Colquitt County
David Whittington - COUNTRY Financial representative,OPERATIONAL,"280 West Bypass, Moultrie",31.183417,-83.806561,"31.183417,-83.806561",Moultrie,Georgia,Colquitt County
Woodmen of the World Insurance,OPERATIONAL,"159 Royale Road, Moultrie",31.2282172,-83.8220169,"31.228217200000003,-83.82201690000001",Moultrie,Georgia,Colquitt County
American General Life,OPERATIONAL,"114 East Northside Drive, Valdosta",30.8693148,-83.2899539,"30.869314799999998,-83.28995390000001",Valdosta,Georgia,Lowndes County
American Income,OPERATIONAL,"1701 Ellington Road Southeast # B, Conyers",33.625001,-83.9832501,"33.625001,-83.98325009999998",Conyers,Georgia,Rockdale County
CorVel Corporation,OPERATIONAL,"2905 Premiere Parkway #125, Duluth",34.005757,-84.093159,"34.005757,-84.093159",Duluth,Georgia,Gwinnett County
Sterling Life Insurance Co,OPERATIONAL,"3505 Koger Boulevard, Duluth",33.949735,-84.1233527,"33.949735,-84.1233527",Duluth,Georgia,Gwinnett County
Fuerza Latina Insurance,OPERATIONAL,"3750 Venture Drive Suite D-15, Duluth",33.9516212,-84.134114,"33.951621200000005,-84.134114",Duluth,Georgia,Gwinnett County
Blackburn Tabb Insurance Agency,OPERATIONAL,"1670 McKendree Church Road #400a, Lawrenceville",33.9910236,-84.0349808,"33.991023600000005,-84.03498080000001",Lawrenceville,Georgia,Gwinnett County
THE GEORGE FAMILY AGENCY,OPERATIONAL,"6150B Covington Highway, Lithonia",33.7237844,-84.164339,"33.72378439999999,-84.164339",Lithonia,Georgia,DeKalb County
American Income Life Insurance Co - Matt Hogan,OPERATIONAL,"1701 Ellington Road Southeast, Conyers",33.6250725,-83.9832417,"33.625072499999995,-83.98324170000001",Conyers,Georgia,Rockdale County
Farm Bureau Insurance,OPERATIONAL,"1120 Green Street Southwest, Conyers",33.6703846,-84.0250061,"33.6703846,-84.0250061",Conyers,Georgia,Rockdale County
Global Insurance & Associates Inc,OPERATIONAL,"5395 Jimmy Carter Boulevard #300, Norcross",33.9064704,-84.2055344,"33.906470399999996,-84.20553439999998",Norcross,Georgia,Gwinnett County
Champions Benefit Approach,OPERATIONAL,"6340 Sugarloaf Parkway, Duluth",33.9902498,-84.0907063,"33.99024980000001,-84.0907063",Duluth,Georgia,Gwinnett County
Georgia Farm Bureau Insurance,OPERATIONAL,"10386 U.S. 278, Covington",33.5957572,-83.8240741,"33.5957572,-83.82407409999998",Covington,Georgia,Newton County
Bryant Insurance,OPERATIONAL,"320 South Madison Avenue, Monroe",33.7911594,-83.7105316,"33.7911594,-83.7105316",Monroe,Georgia,Walton County
Aaa Bob Miller Insurance Inc,OPERATIONAL,"120 South Cherokee Road, Social Circle",33.6558288,-83.7186608,"33.655828799999995,-83.7186608",Social Circle,Georgia,Walton County
C Bennett & Johnson Insurance,OPERATIONAL,"3349 U.S. 84 #100, Blackshear",31.299371,-82.24804,"31.299371,-82.24804",Blackshear,Georgia,Pierce County
Woodmen of the World Lodge,OPERATIONAL,"2069 Golf Course Road, Blackshear",31.2482971,-82.3256236,"31.248297100000002,-82.32562359999999",Blackshear,Georgia,Pierce County
"McNeal, Sports & Company Insurance",OPERATIONAL,"240 Main Street, Blackshear",31.3042216,-82.240614,"31.3042216,-82.24061400000001",Blackshear,Georgia,Pierce County
Georgia Farm Bureau Insurance,OPERATIONAL,"1311 Broome Street, Nahunta",31.205231,-81.9795694,"31.205231,-81.9795694",Nahunta,Georgia,Brantley County
Blackshear GA/Waycross GA,OPERATIONAL,"2000 Plant Avenue, Waycross",31.2227978,-82.3427289,"31.2227978,-82.34272890000001",Waycross,Georgia,Ware County
"Nationwide Insurance: Watson Insurance Group, LLC",OPERATIONAL,"267 Cleveland Street, Blairsville",34.8724923,-83.9559577,"34.8724923,-83.9559577",Blairsville,Georgia,Union County
Georgia Farm Bureau,OPERATIONAL,"10856 Lakewood Highway, Morganton",34.8869634,-84.2621062,"34.8869634,-84.26210619999998",Morganton,Georgia,Fannin County
Susan De Vries - State Farm Insurance Agent,OPERATIONAL,"321 North Main Street, Hiawassee",34.9520441,-83.7591725,"34.95204409999999,-83.75917249999998",Hiawassee,Georgia,Towns County
The Hensley Thompson Group,OPERATIONAL,"3990 Appalachian Highway, Blue Ridge",34.8713463,-84.3244572,"34.8713463,-84.3244572",Blue Ridge,Georgia,Fannin County
Barrett and Associates Insurance,OPERATIONAL,"333 Big Sky Drive, Hiawassee",34.9538854,-83.7570346,"34.9538854,-83.7570346",Hiawassee,Georgia,Towns County
"Moore Insurance Services, Inc.",OPERATIONAL,"150 South Main Street Unit C, Hiawassee",34.9455408,-83.7526894,"34.945540799999996,-83.75268940000001",Hiawassee,Georgia,Towns County
Donna Minnich - State Farm Insurance Agent,OPERATIONAL,"3043 Morrison Moore Parkway East, Dahlonega",34.5675895,-83.9684111,"34.567589500000004,-83.9684111",Dahlonega,Georgia,Lumpkin County
Burch Insurance div. of Farley Insurance,OPERATIONAL,"232 Chatuge Way, Hiawassee",34.9433492,-83.7521927,"34.9433492,-83.75219270000001",Hiawassee,Georgia,Towns County
Esquire Insurance,OPERATIONAL,"1376 Georgia 515 E, Blairsville",34.8875975,-83.9394394,"34.8875975,-83.93943940000001",Blairsville,Georgia,Union County
Cotton States Insurance,OPERATIONAL,"357 Murphy Highway, Blairsville",34.880718,-83.9815584,"34.880718,-83.9815584",Blairsville,Georgia,Union County
Alfa Insurance,OPERATIONAL,United States,34.8791878,-83.9605503,"34.8791878,-83.96055030000001",Blairsville,Georgia,Union County
Kim Farner Insurance Agency,OPERATIONAL,"375 North Main Street, Hiawassee",34.9533742,-83.7592734,"34.95337419999999,-83.75927340000001",Hiawassee,Georgia,Towns County
"Moore Insurance Services, Inc.",OPERATIONAL,"458 HWY 515 East, Suite B, Blairsville",34.8803601,-83.9529509,"34.880360100000004,-83.95295089999998",Blairsville,Georgia,Union County
Jeff Davis - State Farm Insurance Agent,OPERATIONAL,"211 Cleveland Street b, Blairsville",34.8731704,-83.9561423,"34.8731704,-83.9561423",Blairsville,Georgia,Union County
Red Clay Financial LLC,OPERATIONAL,"1158 Grindle Bridge Road, Dahlonega",34.575243,-83.8680599,"34.575243,-83.86805989999998",Dahlonega,Georgia,Lumpkin County
Jacky Jones Insurance LLC: Allstate Insurance,OPERATIONAL,"2742 Highway 129 S, Cleveland",34.5583872,-83.7628593,"34.558387200000006,-83.7628593",Cleveland,Georgia,White County
Rock Financial & Insurance Group,OPERATIONAL,"13196 Magnolia Street, Blakely",31.3801824,-84.922255,"31.380182399999995,-84.92225499999998",Blakely,Georgia,Early County
Bill Richard - State Farm Insurance Agent,OPERATIONAL,"20 East West Montgomery Cross Road, Savannah",31.999038,-81.1233749,"31.999038,-81.1233749",Savannah,Georgia,Chatham County
Victor P Schutz Iii - Aflac Insurance Agent,OPERATIONAL,"130 Canal Street #602, Pooler",32.1310107,-81.2548247,"32.131010700000004,-81.2548247",Pooler,Georgia,Chatham County
GEICO Insurance Agent,OPERATIONAL,"7601 Waters Avenue Suite M, Savannah",32.0032647,-81.1025295,"32.0032647,-81.1025295",Savannah,Georgia,Chatham County
Imerys,OPERATIONAL,"51 Johnny Mercer Boulevard # A4, Savannah",32.0355084,-81.010932,"32.0355084,-81.010932",Savannah,Georgia,Chatham County
William Olmstead - Health Insurance Services,OPERATIONAL,"7505 Waters Avenue, Savannah",32.0046042,-81.1023308,"32.0046042,-81.10233079999998",Savannah,Georgia,Chatham County
Gary G Oetgen Insurance,OPERATIONAL,"7505 Waters Avenue # C1, Savannah",32.004365,-81.1028417,"32.004365,-81.1028417",Savannah,Georgia,Chatham County
SunTrust,OPERATIONAL,"2505 Abercorn Street, Savannah",32.0530375,-81.0997733,"32.0530375,-81.0997733",Savannah,Georgia,Chatham County
